数据期,行业代码,门类代码,门类内容,大类代码,大类内容,中类代码,中类内容,小类代码,小类内容,经度,维度,注册资本(人民币元),企业经营日期,企业登记设立日期,企业缴纳社保人员数
2015,F5139,F,批发和零售业,51,批发业,513,纺织、服装及家庭用品批发,5139,其他家庭用品批发,113.807303,22.732600,5860000,1993/1/1,1986/5/7,25
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.864148,22.605630,9800000,1994/12/1,1986/5/5,17
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.848235,22.729418,9520000,2004/12/1,1987/6/11,145
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.903236,22.578859,37100000,2003/11/1,1987/10/12,90
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.812044,22.750148,12080000,2003/5/1,1988/12/30,91
2015,E4910,E,建筑业,49,建筑安装业,491,电气安装,4910,电气安装,113.908580,22.578760,60000000,2003/5/1,1986/8/26,583
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.796766,22.739491,10402000,2006/3/1,1990/11/29,17
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.825104,22.774604,12495000,2003/11/1,1991/1/21,65
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.846446,22.771977,15000000,2003/8/1,1991/3/27,61
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.833166,22.632790,10000000,2003/2/1,1991/6/13,88
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.888017,22.599362,15000000,2012/12/1,1991/11/27,316
2015,E4790,E,建筑业,47,房屋建筑业,479,其他房屋建筑业,4790,其他房屋建筑业,113.916770,22.580413,50000000,1993/1/1,1991/11/20,331
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.813584,22.743545,10000000,2003/11/1,1992/1/20,96
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.806194,22.74745,11330000,2003/11/1,1992/1/25,115
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.813603,22.781537,10660000,2003/10/1,1992/1/29,74
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.799161,22.735748,8000000,2003/4/1,1992/3/3,70
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.796884,22.745138,22100000,2003/11/1,1992/4/18,163
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.886080,22.556500,28000000,2003/1/1,1992/5/6,153
